,Title,Description,Parsed Description,Date,Reference,Superclass Suggestions,Feature Suggestions
0,Node.js 16 runtime,"Lambda now supports a new runtime for Node.js 16. Node.js 16 uses Amazon Linux 2. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/programming-model.html?icmpid=docs_lambda_rss"">Building Lambda functions with
            Node.js</a>.", a new runtime for Node.js 16. Node.js 16 uses Amazon Linux 2,"Wed, 11 May 2022 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/programming-model.html?icmpid=docs_lambda_rss,"[{'CICDPipelining': 0.741988389149947}, {'RuntimeOS': 0.7246095440560384}, {'OpenSourceRepository': 0.7310729530397084}]","['Node.js', 'Node.js', 'Amazon', 'Linux']"
1,Lambda function URLs,"Lambda now supports function URLs, which are dedicated HTTP(S) endpoints for Lambda functions. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/lambda-urls.html?icmpid=docs_lambda_rss"">Lambda function URLs</a>."," function URLs, which are dedicated HTTP(S) endpoints for Lambda functions","Wed, 6 Apr 2022 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/lambda-urls.html?icmpid=docs_lambda_rss,"[{'FunctionMarketplace': 0.8937052898719214}, {'FunctionRuntime': 0.8806652574688334}, {'WorkflowDefinition': 0.8809090393363257}]","['HTTP(S', 'Lambda']"
2,Shared test events in the AWS Lambda console,"Lambda now supports sharing test events with other IAM users in the same AWS account. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/testing-functions.html?icmpid=docs_lambda_rss"">Testing Lambda functions in the console</a>.", sharing test events with other IAM users in the same AWS account,"Wed, 16 Mar 2022 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/testing-functions.html?icmpid=docs_lambda_rss,"[{'LicenseType': 0.8267513541347121}, {'PlatformDocumentation': 0.831655610550337}, {'License': 0.8274254714635478}]","['IAM', 'AWS']"
3,PrincipalOrgId in resource-based policies,"Lambda now supports granting permissions to an organization in AWS Organizations. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/access-control-resource-based.html?icmpid=docs_lambda_rss"">Using resource-based policies for AWS Lambda</a>.", granting permissions to an organization in AWS Organizations,"Fri, 11 Mar 2022 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/access-control-resource-based.html?icmpid=docs_lambda_rss,"[{'LicenseType': 0.822717907973031}, {'FunctionsDocumentation': 0.8308350866589298}, {'PlatformDocumentation': 0.8287841511491428}]",['AWS']
4,.NET 6 runtime,"Lambda now supports a new runtime for .NET 6. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html?icmpid=docs_lambda_rss"">Lambda runtimes</a>.", a new runtime for .NET 6,"Wed, 23 Feb 2022 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html?icmpid=docs_lambda_rss,"[{'LicenseType': 0.7477392604822207}, {'ClientLibraries': 0.7463481624413512}, {'License': 0.7443734134739425}]",[]
5,"Event filtering for Kinesis, DynamoDB, and Amazon SQS event sources","Lambda now supports event filtering for Kinesis, DynamoDB, and Amazon SQS event sources. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/invocation-eventfiltering.html?icmpid=docs_lambda_rss"">Lambda event filtering</a>."," event filtering for Kinesis, DynamoDB, and Amazon SQS event sources","Wed, 24 Nov 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/invocation-eventfiltering.html?icmpid=docs_lambda_rss,"[{'DeploymentMethods': 0.7504138202538165}, {'EventSourceIntegration': 0.7303102201274366}, {'SourceCodeAvailability': 0.7388699752677527}]","['Kinesis', 'DynamoDB', 'Amazon', 'SQS']"
6,mTLS authentication for Amazon MSK and self-managed Apache Kafka event sources,"Lambda now supports mTLS authentication for Amazon MSK and self-managed Apache Kafka event sources. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/with-msk.html?icmpid=docs_lambda_rss"">Using Lambda with Amazon MSK</a>.", mTLS authentication for Amazon MSK and self-managed Apache Kafka event sources,"Fri, 19 Nov 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/with-msk.html?icmpid=docs_lambda_rss,"[{'CICDPipelining': 0.6830321168077201}, {'DeploymentMethods': 0.6665707138075255}, {'OpenSourceRepository': 0.6524007332688138}]","['mTLS', 'Amazon', 'MSK', 'Apache', 'Kafka']"
7,Lambda on Graviton2,"Lambda now supports Graviton2 for functions using arm64 architecture. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/foundation-arch.html?icmpid=docs_lambda_rss"">Lambda instruction set architectures</a>.", Graviton2 for functions using arm64 architecture,"Wed, 29 Sep 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/foundation-arch.html?icmpid=docs_lambda_rss,"[{'StreamProcessingPlatform': 0.8083039257866752}, {'Environment': 0.8005623214667301}, {'ToolingIntegration': 0.8104182029019705}]",['arm64']
8,Python 3.9 runtime,"Lambda now supports a new runtime for Python 3.9. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html?icmpid=docs_lambda_rss"">Lambda runtimes</a>.", a new runtime for Python 3.9,"Mon, 16 Aug 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html?icmpid=docs_lambda_rss,"[{'CICDPipelining': 0.7235304447209447}, {'RuntimeCustomization': 0.7044264959377389}, {'RuntimeOS': 0.6933140900474262}]",['Python']
10,Support for RabbitMQ as an event source on Lambda,"Lambda now supports Amazon MQ for RabbitMQ as an event source.
          Amazon MQ is a managed message broker service for Apache ActiveMQ and RabbitMQ 
          that makes it easy to set up and operate message brokers in the cloud. 
          For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/with-mq.html?icmpid=docs_lambda_rss"">Using Lambda with Amazon MQ</a>.", Amazon MQ for RabbitMQ as an event source,"Wed, 7 Jul 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/with-mq.html?icmpid=docs_lambda_rss,"[{'EventSourceIntegration': 0.682830762122754}, {'SourceCodeAvailability': 0.6773956057414474}, {'OpenSourceRepository': 0.6807620768245027}]","['Amazon', 'MQ', 'RabbitMQ']"
14,Node.js 14 runtime,"Lambda now supports a new runtime for Node.js 14. Node.js 14 uses Amazon Linux 2. For details, see <a href=""https://docs.aws.amazon.com/lambda/latest/dg/programming-model.html?icmpid=docs_lambda_rss"">Building Lambda functions with
            Node.js</a>.", a new runtime for Node.js 14. Node.js 14 uses Amazon Linux 2,"Wed, 27 Jan 2021 19:00:00 GMT",https://docs.aws.amazon.com/lambda/latest/dg/programming-model.html?icmpid=docs_lambda_rss,"[{'CICDPipelining': 0.741988389149947}, {'RuntimeOS': 0.7246095440560384}, {'OpenSourceRepository': 0.7310729530397084}]","['Node.js', 'Node.js', 'Amazon', 'Linux']"
